image_url,original_price,price,price_off_percentages,title
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/6/0/-original-imagp7pgftd3zehz.jpeg?q=70,"₹ 75,191","₹59,990",20% off,"HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto... ₹59,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/y/9/-original-imagp7pfaztvgxv3.jpeg?q=70,"₹ 70,248","₹56,870",19% off,"HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop ₹56,870 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70,"₹ 50,990","₹34,990",31% off,"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS ... ₹34,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/z/b/z/-original-imagmmng8dppnn4v.jpeg?q=70,"₹ 46,090","₹28,490",38% off,"Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop ₹28,490 Free delivery by No Cost EMI from ₹4,749/month Bank Offer"
https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,"₹ 99,900","₹81,990",17% off,"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A ₹81,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/h/v/-original-imagq9hcmgg3etg8.jpeg?q=70,"₹ 69,990","₹42,990",38% off,"ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La... ₹42,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/m/k/-original-imagzyfzhzcw8wvp.jpeg?q=70,"₹ 59,119","₹38,490",34% off,"DELL Inspiron Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop ₹38,490 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,"₹ 55,490","₹36,950",33% off,"Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | ... ₹36,950 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/h/g/l/inbook-x1-neo-thin-and-light-laptop-infinix-original-imagg49gbqxuhfha.jpeg?q=70,"₹ 39,999","₹22,990",42% off,"Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light... ₹22,990 Free delivery by Daily Saver Upto "
https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,"₹ 54,999","₹35,990",34% off,"realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop ₹35,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/a/8/-original-imagp7pf86vm9mmj.jpeg?q=70,"₹ 60,599","₹53,990",10% off,"HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop ₹53,990 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,"₹ 84,590","₹50,990",39% off,"Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Ligh... ₹50,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/j/u/-original-imaggzes4pd7ptkx.jpeg?q=70,"₹ 75,990","₹65,990",13% off,"ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID... ₹65,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70,"₹ 34,990","₹23,490",32% off,"Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and... ₹23,490 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/v/9/-original-imagp7pfeutcgxrn.jpeg?q=70,"₹ 47,279","₹35,990",23% off,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop ₹35,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/l/u/-original-imagp7pf4hphhyhu.jpeg?q=70,"₹ 59,109","₹50,490",14% off,"HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop ₹50,490 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,"₹ 81,990","₹53,990",34% off,"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA... ₹53,990 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,"₹ 68,990","₹46,994",31% off,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap... ₹46,994 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/e/h/-original-imagjyc69gh3a8wu.jpeg?q=70,"₹ 84,990","₹55,999",34% off,"Acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G... ₹55,999 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/m/2/-original-imagpa5gadtkbm6y.jpeg?q=70,"₹ 67,090","₹40,990",38% off,"Lenovo IdeaPad 3 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Light Laptop ₹40,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/ky90scw0/computer/k/7/k/ideapad-slim-82h801lgin-laptop-lenovo-original-imagagrpkzaxrcdc.jpeg?q=70,"₹ 60,090","₹34,990",41% off,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Laptop ₹34,990 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70,"₹ 74,829","₹62,890",15% off,"HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/14... ₹62,890"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/h/s/-original-imagpxgqj6x2zkhe.jpeg?q=70,"₹ 50,990","₹34,990",31% off,"ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS... ₹34,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70,"₹ 44,990","₹27,990",37% off,"Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ... ₹27,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70,"₹ 44,999","₹31,990",28% off,"Acer Extensa (2023) Core i3 - (8 GB/256 GB SSD/Windows 11 Home) EX215-33 Notebook ₹31,990 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/l/n/xl30-thin-and-light-laptop-infinix-original-imagzmncmw5wukam.jpeg?q=70,,"₹39,990",,"Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and... ₹39,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/m/2/-original-imagpa5gadtkbm6y.jpeg?q=70,"₹ 76,890","₹54,990",28% off,"Lenovo IdeaPad 3 Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Lapt... ₹54,990 Free delivery Lowest Price in 15 days Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/k/h/-original-imagpkbv6zpcfts5.jpeg?q=70,"₹ 66,769","₹55,990",16% off,"HP Victus Gaming Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor... ₹55,990 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,"₹ 35,147","₹31,990",8% off,"HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light L... ₹31,990 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,"₹ 39,995","₹34,990",12% off,"HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light... ₹34,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/z/x/14alc7-thin-and-light-laptop-lenovo-original-imaggujjhgppfkfg.jpeg?q=70,,"₹92,290",,"Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig... ₹92,290 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/0/v/15ach6h-gaming-laptop-lenovo-original-imagheh6fngdnzav.jpeg?q=70,"₹ 1,62,290","₹1,04,990",35% off,"Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor... ₹1,04,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/r/j/-original-imagp7pfqggfaqqm.jpeg?q=70,"₹ 49,425","₹39,990",19% off,"HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop ₹39,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/7/1/-original-imagpxgrmuazgfce.jpeg?q=70,"₹ 86,990","₹60,160",30% off,"ASUS VivoBook 16X Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB711WS Thin an... ₹60,160 Free delivery Lowest price since launch Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/h/i/-original-imagpxgrhgrsrppn.jpeg?q=70,"₹ 74,990","₹50,990",32% off,"ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) M1605YA-MB541WS L... ₹50,990 Free delivery by Lowest price since launch Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/b/h/-original-imagp7pfa6tscqpx.jpeg?q=70,"₹ 59,237","₹58,990",,"HP 15s (2023) Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light ... ₹58,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/5/k/z/na-gaming-laptop-lenovo-original-imag5bg5egrw92gp.jpeg?q=70,"₹ 1,95,890","₹1,25,999",35% off,"Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF... ₹1,25,999 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/kwmfqfk0/computer/8/l/2/ideapad-3-14acl6-thin-and-light-laptop-lenovo-original-imag99kmftdeexpz.jpeg?q=70,"₹ 67,990","₹50,990",25% off,"Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) ideapad 3 14ALC6UB Thin and... ₹50,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/n/w/-original-imagqs9vc7ecv4vj.jpeg?q=70,"₹ 38,990","₹27,990",28% off,"ASUS Vivobook Go 15 Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) E510MA-EJ021WS Thin and Ligh... ₹27,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/h/a/-original-imagnqmwbbxzm8tp.jpeg?q=70,"₹ 58,990","₹39,990",32% off,"MSI Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN Thin and Light Laptop ₹39,990 Free delivery by Lowest price since launch Upto "
https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70,"₹ 93,690","₹64,990",30% off,"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA... ₹64,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/d/s/h/na-thin-and-light-laptop-lenovo-original-imag3dz5ut6ds7eg.jpeg?q=70,"₹ 78,290","₹50,990",34% off,"Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and ... ₹50,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/j/7/bravo-15-b5ed-notebook-msi-original-imagz3rya2qqbhjt.jpeg?q=70,"₹ 69,990","₹55,990",20% off,"MSI Bravo 15 Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX650... ₹55,990 Free delivery by Lowest price since launch Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70,"₹ 55,000","₹33,900",38% off,"Lenovo V15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Lapto... ₹33,900 Free delivery No Cost EMI from ₹5,650/month Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70,"₹ 45,999","₹33,990",26% off,"Acer Extensa (2023) Core i3 - (8 GB/512 GB SSD/Windows 11 Home) EX215-33 Notebook ₹33,990 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/l/e/-original-imagp8xz5bfrpzvz.jpeg?q=70,"₹ 75,059","₹60,990",18% off,"HP 15s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light Laptop ₹60,990 Free delivery by Lowest price since launch No Cost EMI from ₹10,165/month"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/e/i/v15-laptop-lenovo-original-imaghvguhkzhedwq.jpeg?q=70,"₹ 69,525","₹36,990",46% off,"Lenovo Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop ₹36,990 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70,"₹ 76,890","₹53,990",29% off,"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic... ₹53,990 Free delivery Hot Deal Upto "
